safeName,item,itemLabel,deaths,starttime,endtime,pointintime
HurricaneMatthew,http://www.wikidata.org/entity/Q27058656,Hurricane Matthew,603,2016-09-28T00:00:00Z,2016-10-10T00:00:00Z,
CycloneIdai,http://www.wikidata.org/entity/Q62023294,Cyclone Idai,558,2019-03-04T00:00:00Z,2019-03-21T00:00:00Z,
1924–25Minnesotasmallpoxepidemic,http://www.wikidata.org/entity/Q83222062,1924–25 Minnesota smallpox epidemic,500,1924-01-01T00:00:00Z,1925-01-01T00:00:00Z,
2009flupandemicinCanada,http://www.wikidata.org/entity/Q3111601,2009 flu pandemic in Canada,429,2009-04-26T00:00:00Z,2010-01-01T00:00:00Z,
2009flupandemicintheUnitedKingdom,http://www.wikidata.org/entity/Q434820,2009 flu pandemic in the United Kingdom,392,2009-04-27T00:00:00Z,2009-01-01T00:00:00Z,
2017PedrógãoGrandeWildfire,http://www.wikidata.org/entity/Q30327722,2017 Pedrógão Grande Wildfire,389,2017-06-17T00:00:00Z,2017-06-24T00:00:00Z,
GreatChicagoFire,http://www.wikidata.org/entity/Q70520,Great Chicago Fire,300,1871-10-08T00:00:00Z,1871-10-10T00:00:00Z,
2016Kumamotoearthquakes,http://www.wikidata.org/entity/Q23825118,2016 Kumamoto earthquakes,267,2016-04-14T00:00:00Z,2016-04-16T00:00:00Z,
HurricaneSandy,http://www.wikidata.org/entity/Q264,Hurricane Sandy,233,2012-10-22T00:00:00Z,2012-10-31T00:00:00Z,
BlackSaturdaybushfires,http://www.wikidata.org/entity/Q838278,Black Saturday bushfires,231,2009-02-07T00:00:00Z,2009-03-14T00:00:00Z,
Q65938428,http://www.wikidata.org/entity/Q65938428,Q65938428,207,1930-09-18T00:00:00Z,1930-09-20T00:00:00Z,
1896CedarKeyshurricane,http://www.wikidata.org/entity/Q28834995,1896 Cedar Keys hurricane,202,1896-09-22T00:00:00Z,1896-09-30T00:00:00Z,
HurricaneIke,http://www.wikidata.org/entity/Q392603,Hurricane Ike,195,2008-09-01T00:00:00Z,2008-09-15T00:00:00Z,
TyphoonWanda,http://www.wikidata.org/entity/Q2183839,Typhoon Wanda,183,1962-08-27T00:00:00Z,1962-09-01T00:00:00Z,
2012KrasnodarKraifloods,http://www.wikidata.org/entity/Q1434437,2012 Krasnodar Krai floods,171,2012-07-06T00:00:00Z,2012-07-07T00:00:00Z,
GreatHavanaHurricaneof1846,http://www.wikidata.org/entity/Q5599303,Great Havana Hurricane of 1846,164,1846-10-05T00:00:00Z,1846-10-14T00:00:00Z,
HurricaneIrma,http://www.wikidata.org/entity/Q38685186,Hurricane Irma,133,2017-08-30T00:00:00Z,2017-09-12T00:00:00Z,
TropicalStormMatthew,http://www.wikidata.org/entity/Q4353265,Tropical Storm Matthew,126,2010-09-23T00:00:00Z,2010-09-28T00:00:00Z,
2018Indianduststorms,http://www.wikidata.org/entity/Q52557797,2018 Indian dust storms,125,2018-05-02T00:00:00Z,2018-05-03T00:00:00Z,
CycloneHudhud,http://www.wikidata.org/entity/Q18195808,Cyclone Hudhud,124,2014-10-07T00:00:00Z,2014-10-14T00:00:00Z,
BattleofMayIsland,http://www.wikidata.org/entity/Q1784617,Battle of May Island,104,1918-01-31T00:00:00Z,1918-02-01T00:00:00Z,
TheHolocaust,http://www.wikidata.org/entity/Q2763,The Holocaust,6000000,,,1941-01-01T00:00:00Z
ArmenianGenocide,http://www.wikidata.org/entity/Q80034,Armenian Genocide,1200000,,,1915-01-01T00:00:00Z
Greekgenocide,http://www.wikidata.org/entity/Q911233,Greek genocide,450000,,,1913-01-01T00:00:00Z
NanjingMassacre,http://www.wikidata.org/entity/Q192055,Nanjing Massacre,200000,,,1937-01-01T00:00:00Z
BodoLeaguemassacre,http://www.wikidata.org/entity/Q181289,Bodo League massacre,200000,,,1950-01-01T00:00:00Z
Intelligenzaktion,http://www.wikidata.org/entity/Q3487920,Intelligenzaktion,100000,,,1939-01-01T00:00:00Z
Manilamassacre,http://www.wikidata.org/entity/Q699787,Manila massacre,100000,,,1945-01-01T00:00:00Z
NKVDprisonermassacres,http://www.wikidata.org/entity/Q2655890,NKVD prisoner massacres,100000,,,1941-01-01T00:00:00Z
massacresofPolesinVolhyniaandEasternGalicia,http://www.wikidata.org/entity/Q695020,massacres of Poles in Volhynia and Eastern Galicia,80000,,,1942-01-01T00:00:00Z
Pontianakincidents,http://www.wikidata.org/entity/Q12504990,Pontianak incidents,50000,,,1943-01-01T00:00:00Z
IntelligenzaktionPommern,http://www.wikidata.org/entity/Q6044171,Intelligenzaktion Pommern,40000,,,1939-01-01T00:00:00Z
Kamianets-PodilskyiMassacre,http://www.wikidata.org/entity/Q481526,Kamianets-Podilskyi Massacre,23600,,,1941-01-01T00:00:00Z
Katynmassacre,http://www.wikidata.org/entity/Q134301,Katyn massacre,22000,,,1940-01-01T00:00:00Z
Hamamassacre,http://www.wikidata.org/entity/Q730878,Hama massacre,10000,,,1982-01-01T00:00:00Z
Srebrenicamassacre,http://www.wikidata.org/entity/Q170334,Srebrenica massacre,8000,,,1995-07-22T00:00:00Z
massacreofThessalonica,http://www.wikidata.org/entity/Q1155064,massacre of Thessalonica,7000,,,0390-01-01T00:00:00Z
Koriukivkamassacre,http://www.wikidata.org/entity/Q1527609,Koriukivka massacre,6700,,,1943-03-01T00:00:00Z
massacreoftheAcquiDivision,http://www.wikidata.org/entity/Q537576,massacre of the Acqui Division,5155,,,1943-09-26T00:00:00Z
1987Onsong-12prisonriot,http://www.wikidata.org/entity/Q47890072,1987 Onsong-12 prison riot,5000,,,1987-05-01T00:00:00Z
Paracuellosmassacres,http://www.wikidata.org/entity/Q2608210,Paracuellos massacres,4000,,,1936-12-01T00:00:00Z
BaChucMassacre,http://www.wikidata.org/entity/Q796398,Ba Chuc Massacre,3157,,,1978-04-18T00:00:00Z
