item,itemLabel,deaths,pointintime
http://www.wikidata.org/entity/Q12815319,Piet Retief Delegation massacre,116,1838-02-06T00:00:00Z
http://www.wikidata.org/entity/Q2335758,Gulf Air Flight 771,112,1983-09-23T00:00:00Z
http://www.wikidata.org/entity/Q1126268,Deir Yassin massacre,111,1948-04-09T00:00:00Z
http://www.wikidata.org/entity/Q2341407,Carandiru massacre,111,1992-10-02T00:00:00Z
http://www.wikidata.org/entity/Q63392172,Vallucciole massacre,108,1944-04-13T00:00:00Z
http://www.wikidata.org/entity/Q55098324,Masacrele de la Tărcaia și Grădinari (1919),108,1919-04-19T00:00:00Z
http://www.wikidata.org/entity/Q18732673,2015 Baga massacre,100,2015-01-07T00:00:00Z
http://www.wikidata.org/entity/Q1907348,Thammasat University massacre,100,1976-10-06T00:00:00Z
http://www.wikidata.org/entity/Q2027138,Kfar Etzion massacre,100,1948-05-13T00:00:00Z
http://www.wikidata.org/entity/Q641064,Le Paradis massacre,97,1940-05-27T00:00:00Z
http://www.wikidata.org/entity/Q21083277,2015 Ankara bombings,95,2015-10-10T00:00:00Z
http://www.wikidata.org/entity/Q27972892,Lyngiades massacre,92,1943-10-03T00:00:00Z
http://www.wikidata.org/entity/Q162228,Malmedy massacre,90,1944-12-17T00:00:00Z
http://www.wikidata.org/entity/Q487582,Mungyeong massacre,88,1949-12-24T00:00:00Z
http://www.wikidata.org/entity/Q25893254,2016 Nice attack,87,2016-07-14T00:00:00Z
http://www.wikidata.org/entity/Q706535,Ascq massacre,86,1944-04-01T00:00:00Z
http://www.wikidata.org/entity/Q569287,Bologna massacre,85,1980-08-02T00:00:00Z
http://www.wikidata.org/entity/Q22348438,2016 Dalori attack,85,2016-01-30T00:00:00Z
http://www.wikidata.org/entity/Q1306574,Massaker von Radolišta,84,1944-10-28T00:00:00Z
http://www.wikidata.org/entity/Q11464493,Sorokdo massacre,82,1945-08-21T00:00:00Z
http://www.wikidata.org/entity/Q25995756,July 2016 Kabul bombing,80,2016-07-23T00:00:00Z
http://www.wikidata.org/entity/Q79967,2011 Norway attacks,77,2011-07-22T00:00:00Z
http://www.wikidata.org/entity/Q1929123,Hadassah medical convoy massacre,77,1948-04-13T00:00:00Z
http://www.wikidata.org/entity/Q23638613,2016 Lahore suicide bombing,75,2016-03-27T00:00:00Z
http://www.wikidata.org/entity/Q4928065,Bloody Gulch massacre,75,1950-08-12T00:00:00Z
http://www.wikidata.org/entity/Q6005734,matança de frares a Madrid de 1834,73,1834-07-17T00:00:00Z
http://www.wikidata.org/entity/Q952516,2010 San Fernando massacre,72,2010-08-24T00:00:00Z
http://www.wikidata.org/entity/Q23890868,April 2016 Kabul attack,71,2016-04-19T00:00:00Z
http://www.wikidata.org/entity/Q2097350,Tuzla massacre,71,1995-05-25T00:00:00Z
http://www.wikidata.org/entity/Q10551743,Käpplinge murders,70,1389-06-17T00:00:00Z
http://www.wikidata.org/entity/Q303059,Thiaroye Massacre,70,1944-12-01T00:00:00Z
http://www.wikidata.org/entity/Q5786070,Machuca massacre,70,1998-10-18T00:00:00Z
http://www.wikidata.org/entity/Q569304,22 December 2011 Baghdad bombings,69,2011-12-22T00:00:00Z
http://www.wikidata.org/entity/Q518753,Sharpeville massacre,69,1960-03-21T00:00:00Z
http://www.wikidata.org/entity/Q4672685,Accomarca massacre,69,1985-08-14T00:00:00Z
http://www.wikidata.org/entity/Q28406214,Skelani massacre,69,1993-01-16T00:00:00Z
http://www.wikidata.org/entity/Q3377611,Utøya massacre,69,2011-07-22T00:00:00Z
http://www.wikidata.org/entity/Q14941568,Westgate shopping mall shooting,67,2013-09-21T00:00:00Z
http://www.wikidata.org/entity/Q1417490,1929 Hebron massacre,67,1929-08-24T00:00:00Z
http://www.wikidata.org/entity/Q15119203,Glogova massacre,64,1992-05-09T00:00:00Z
http://www.wikidata.org/entity/Q46826615,Hon Dinh massacre,62,1966-01-21T00:00:00Z
http://www.wikidata.org/entity/Q19619385,2015 Shikarpur bombing,61,2015-01-30T00:00:00Z
http://www.wikidata.org/entity/Q3438698,Sijekovac killings,59,1992-03-01T00:00:00Z
http://www.wikidata.org/entity/Q41522095,2017 Las Vegas shooting,59,2017-10-01T00:00:00Z
http://www.wikidata.org/entity/Q15826444,Federal Government College attack,59,2014-02-25T00:00:00Z
http://www.wikidata.org/entity/Q829737,Deutsch Schützen massacre,58,1945-03-29T00:00:00Z
http://www.wikidata.org/entity/Q6005233,Carmen de Patagones school shooting,56,2004-09-28T00:00:00Z
http://www.wikidata.org/entity/Q12415571,Велешко клане,53,1945-01-15T00:00:00Z
http://www.wikidata.org/entity/Q62066211,Christchurch mosque shootings,51,2019-03-15T00:00:00Z
http://www.wikidata.org/entity/Q63451338,Eccidio di via Ghega,51,1944-04-23T00:00:00Z
http://www.wikidata.org/entity/Q24561572,2016 Orlando nightclub shooting,50,2016-06-12T00:00:00Z
http://www.wikidata.org/entity/Q7191299,Pidjiguiti Massacre,50,1959-08-03T00:00:00Z
http://www.wikidata.org/entity/Q16347866,Q16347866,50,1941-06-01T00:00:00Z
http://www.wikidata.org/entity/Q24561572,2016 Orlando nightclub shooting,49,2016-06-12T00:00:00Z
http://www.wikidata.org/entity/Q8079711,Čemerno massacre,49,1992-06-10T00:00:00Z
http://www.wikidata.org/entity/Q3271831,Suva Reka massacre,48,1999-03-26T00:00:00Z
http://www.wikidata.org/entity/Q4695022,Ahatovići massacre,47,1992-06-14T00:00:00Z
http://www.wikidata.org/entity/Q1907348,Thammasat University massacre,46,1976-10-06T00:00:00Z
http://www.wikidata.org/entity/Q30880661,"stragi di Ziano, Stramentizzo e Molina di Fiemme",45,1945-05-01T00:00:00Z
http://www.wikidata.org/entity/Q2578008,Acteal massacre,45,1997-12-22T00:00:00Z
http://www.wikidata.org/entity/Q2885128,Kielce cemetery massacre,45,1943-05-23T00:00:00Z
http://www.wikidata.org/entity/Q3297426,Boipatong massacre,45,1992-06-17T00:00:00Z
http://www.wikidata.org/entity/Q12205950,جمعة الكرامة,45,2011-03-18T00:00:00Z
http://www.wikidata.org/entity/Q3297451,massacre of Penguerec,44,1944-08-07T00:00:00Z
