item,itemLabel,deaths,starttime,endtime
http://www.wikidata.org/entity/Q57082056,Hurricane Michael,72,2018-10-07T00:00:00Z,2018-10-16T00:00:00Z
http://www.wikidata.org/entity/Q66764432,Hurricane Dorian,72,2019-08-22T00:00:00Z,2019-09-08T00:00:00Z
http://www.wikidata.org/entity/Q20630431,2015 Gujarat flood,70,2015-06-23T00:00:00Z,2015-06-26T00:00:00Z
http://www.wikidata.org/entity/Q76598915,2019 Samoa measles outbreak,63,2019-10-22T00:00:00Z,t1856571653
http://www.wikidata.org/entity/Q1813750,Hurricane Opal,63,1995-09-27T00:00:00Z,1995-10-06T00:00:00Z
http://www.wikidata.org/entity/Q18145950,2014 Mount Ontake eruption,63,2014-09-27T00:00:00Z,2014-10-14T00:00:00Z
http://www.wikidata.org/entity/Q56530829,Typhoon Mangkhut,59,2018-09-07T00:00:00Z,2018-09-17T00:00:00Z
http://www.wikidata.org/entity/Q187621,Hurricane Irene,56,2011-08-21T00:00:00Z,2011-08-30T00:00:00Z
http://www.wikidata.org/entity/Q22222608,January 2016 United States winter storm,55,2016-01-21T00:00:00Z,2016-01-29T00:00:00Z
http://www.wikidata.org/entity/Q815951,2010 Russian wildfires,54,2010-07-01T00:00:00Z,2010-08-01T00:00:00Z
http://www.wikidata.org/entity/Q327056,2011 Germany E. coli O104:H4 outbreak,53,2011-05-01T00:00:00Z,2011-06-01T00:00:00Z
http://www.wikidata.org/entity/Q3179558,Tropical Storm Allison,52,2001-06-04T00:00:00Z,2001-06-18T00:00:00Z
http://www.wikidata.org/entity/Q23825118,2016 Kumamoto earthquakes,50,2016-04-14T00:00:00Z,2016-04-16T00:00:00Z
http://www.wikidata.org/entity/Q17999999,2014 Democratic Republic of the Congo Ebola virus outbreak,49,2014-08-01T00:00:00Z,2014-11-01T00:00:00Z
http://www.wikidata.org/entity/Q23825118,2016 Kumamoto earthquakes,48,2016-04-14T00:00:00Z,2016-04-16T00:00:00Z
http://www.wikidata.org/entity/Q67390843,2019–20 European windstorm season,48,2019-10-02T00:00:00Z,2020-08-31T00:00:00Z
http://www.wikidata.org/entity/Q17404012,TransAsia Airways Flight 222,48,2014-07-23T00:00:00Z,2014-07-23T00:00:00Z
http://www.wikidata.org/entity/Q926626,Cyclone Xynthia,47,2010-02-26T00:00:00Z,2010-03-01T00:00:00Z
http://www.wikidata.org/entity/Q3517855,Columbus Day Storm of 1962,46,1962-10-03T00:00:00Z,1962-10-17T00:00:00Z
http://www.wikidata.org/entity/Q86929,2002 European floods,45,2002-08-05T00:00:00Z,2002-09-13T00:00:00Z
http://www.wikidata.org/entity/Q15057483,Cyclone Phailin,45,2013-10-05T00:00:00Z,2013-10-14T00:00:00Z
http://www.wikidata.org/entity/Q84424459,2020 Van avalanches,41,2020-02-04T00:00:00Z,2020-02-05T00:00:00Z
http://www.wikidata.org/entity/Q60627960,Cyclone Cempaka,41,2017-11-22T00:00:00Z,2017-12-01T00:00:00Z
http://www.wikidata.org/entity/Q17342662,Typhoon Rammasun,40,2014-07-09T00:00:00Z,2014-07-20T00:00:00Z
